,LFQ intensity SW480_1,LFQ intensity SW480_2,LFQ intensity SW480_3,LFQ intensity SW620_1,LFQ intensity SW620_2,LFQ intensity Sw620_3
3481,1692800000.0,1338700000.0,1108100000.0,4426900000.0,2674400000.0,3937000000.0
3482,0.0,0.0,0.0,0.0,0.0,3868800.0
3483,74943000.0,75758000.0,83390000.0,83014000.0,162910000.0,74314000.0
3484,120350000.0,126190000.0,82962000.0,50729000.0,48415000.0,95026000.0
3485,0.0,0.0,0.0,0.0,16939000.0,0.0
3486,0.0,0.0,30199000.0,0.0,0.0,0.0
3487,0.0,0.0,0.0,0.0,0.0,17152000.0
3488,0.0,5.9,2.1,5.9,247810000.0,13668000.0
3489,61007000.0,69447000.0,84334000.0,28798000.0,65277000.0,33667000.0
3490,512950000.0,539190000.0,477780000.0,736370000.0,948120000.0,738120000.0
3491,161600000.0,150380000.0,153800000.0,119910000.0,128230000.0,106690000.0
3492,38252000.0,47333000.0,47634000.0,63130000.0,34983000.0,55404000.0
3493,132580000.0,139360000.0,134200000.0,143520000.0,146120000.0,145220000.0
3494,18530000.0,29275000.0,24070000.0,64439000.0,42925000.0,46259000.0
3495,0.0,0.0,0.0,0.0,0.0,3425600.0
3496,0.0,0.0,0.0,0.0,0.0,350490000.0
3497,0.0,0.0,0.0,0.0,9549800.0,0.0
3498,89089000.0,93918000.0,123610000.0,170680000.0,146770000.0,144380000.0
3499,22184000.0,21890000.0,18976000.0,33410000.0,25962000.0,27657000.0
3500,13210000.0,0.0,14195000.0,0.0,11981000.0,0.0
3501,0.0,0.0,0.0,0.0,0.0,8.0
3502,438110000.0,498340000.0,433180000.0,582510000.0,454640000.0,501620000.0
3503,0.0,0.0,0.0,0.0,7624400.0,0.0
3504,0.0,0.0,0.0,4124600.0,0.0,0.0
3505,62531000.0,112680000.0,25225000.0,23833000.0,26407000.0,68507000.0
3506,26982000.0,28523000.0,28300000.0,26532000.0,49059000.0,56590000.0
3507,61317000.0,60019000.0,64141000.0,45311000.0,73351000.0,52517000.0
3508,244610000.0,90338000.0,109550000.0,115400000.0,175250000.0,116580000.0
3509,28831000.0,20733000.0,0.0,0.0,0.0,0.0
3510,53459000.0,62881000.0,60398000.0,69500000.0,81423000.0,55846000.0
3511,309630000.0,199220000.0,193520000.0,204940000.0,211590000.0,186850000.0
3512,23916000.0,17364000.0,34134000.0,13300000.0,0.0,11374000.0
3513,94735000.0,91358000.0,138560000.0,134040000.0,124020000.0,110370000.0
3514,231910000.0,249000000.0,231280000.0,118270000.0,224620000.0,228810000.0
3515,64208000.0,57732000.0,55337000.0,0.0,7982700.0,11313000.0
3516,64086000.0,0.0,0.0,0.0,40847000.0,37170000.0
3517,147140000.0,131050000.0,87849000.0,37892000.0,71639000.0,77996000.0
3518,23343000.0,33140000.0,25985000.0,0.0,19203000.0,19482000.0
3519,982000000.0,1073000000.0,982300000.0,1147300000.0,972480000.0,935690000.0
